State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Yield
Assam,coriander,Rabi,14.51,1485.66,319.61,41.16
Rajasthan,maize,Kharif,19.71,2180.48,251.11,55.47
Tamil Nadu,ginger,Zaid,4.62,857.49,80.64,41.92
Odisha,rice,Zaid,10.09,806.24,228.23,47.42
Punjab,pulses,Zaid,8.54,2350.67,267.4,47.52
Karnataka,tea,Kharif,5.12,1294.02,278.96,41.79
Punjab,maize,Kharif,7.69,2646.73,320.91,58.96
Odisha,ginger,Rabi,12.35,2415.66,188.3,55.41
Punjab,coffee,Zaid,19.44,1734.55,317.06,43.68
Assam,sugarcane,Kharif,6.63,2073.33,141.66,90.77
Odisha,maize,Zaid,18.83,2569.11,326.33,56.81
Karnataka,wheat,Rabi,19.09,2886.26,241.14,63.67
Telangana,cotton,Zaid,11.87,2489.93,340.53,50.16
Bihar,groundnut,Rabi,9.49,1083.72,163.67,42.51
Assam,millet,Rabi,6.8,1743.55,191.51,38.85
Telangana,soybean,Kharif,8.3,402.19,135.21,29.68
Kerala,pulses,Zaid,7.3,406.89,235.16,26.49
Karnataka,turmeric,Zaid,13.71,2837.46,223.28,56.86
Rajasthan,sugarcane,Zaid,10.88,2886.89,245.88,101.86
Andhra Pradesh,soybean,Rabi,4.92,1894.33,232.5,48.83
Bihar,coriander,Rabi,3.79,1686.65,82.61,31.67
Odisha,maize,Kharif,17.27,1732.71,238.96,49.84
Karnataka,groundnut,Rabi,6.26,481.05,215.31,36.95
Odisha,tea,Rabi,2.59,963.51,254.01,38.57
Telangana,turmeric,Zaid,6.41,1134.18,160.17,41.91
Tamil Nadu,chilli,Kharif,18.28,1938.16,190.75,43.98
Odisha,pulses,Kharif,3.77,2000.15,315.95,44.14
Karnataka,turmeric,Rabi,15.5,549.42,234.9,41.85
Bihar,pulses,Zaid,13.68,1372.83,126.78,30.69
Uttar Pradesh,wheat,Rabi,18.07,691.04,53.58,31.8
Uttar Pradesh,maize,Kharif,19.15,2040.34,341.49,51.6
Karnataka,chilli,Rabi,6.11,1690.84,91.88,38.26
Odisha,coriander,Kharif,10.39,1413.52,187.88,38.08
Karnataka,chilli,Kharif,14.44,1373.16,48.87,38.48
Uttar Pradesh,rice,Kharif,19.41,301.13,124.93,36.05
Odisha,maize,Zaid,14.51,787.68,153.26,37.41
Uttar Pradesh,chilli,Rabi,18.86,2007.35,194.28,35.92
Andhra Pradesh,pulses,Zaid,12.57,1296.83,317.26,40.2
Andhra Pradesh,millet,Zaid,2.83,2827.81,48.62,35.76
Bihar,cotton,Rabi,19.12,1794.79,221.32,40.95
Telangana,groundnut,Rabi,15.32,1890.31,310.88,56.09
Punjab,soybean,Zaid,8.66,2960.79,73.26,53.22
Maharashtra,millet,Rabi,13.39,2846.78,46.61,46.08
Rajasthan,groundnut,Zaid,2.41,1956.24,316.28,51.94
Punjab,cotton,Kharif,13.63,1332.83,339.5,41.99
Telangana,groundnut,Kharif,14.47,1535.99,51.03,37.73
Madhya Pradesh,millet,Kharif,13.41,2630.5,59.08,45.19
Tamil Nadu,chilli,Zaid,0.69,1125.28,274.64,34.82
Odisha,tea,Kharif,16.75,2146.93,253.2,51.89
Karnataka,maize,Zaid,18.45,1378.09,50.76,39.46
Karnataka,coriander,Rabi,19.57,400.38,273.15,27.74
Maharashtra,groundnut,Zaid,10.29,448.01,252.08,37.65
Maharashtra,millet,Kharif,17.13,538.85,208.89,29.62
Kerala,tea,Rabi,13.29,1080.07,306.37,36.79
Maharashtra,coriander,Rabi,10.66,2018.37,184.16,42.33
Tamil Nadu,tea,Zaid,17.93,1102.71,73.44,30.76
West Bengal,cotton,Rabi,9.79,770.83,291.36,38.22
Assam,cotton,Zaid,19.82,2158.05,330.53,49.81
Karnataka,maize,Rabi,7.74,2779.07,217.85,52.77
Odisha,soybean,Kharif,11.9,2504.65,86.45,45.06
Odisha,cumin,Rabi,8.56,416.61,74.1,14.33
Punjab,pulses,Zaid,4.07,1697.61,173.58,35.1
Maharashtra,rice,Rabi,10.05,2970.27,167.99,58.7
Karnataka,turmeric,Rabi,17.2,2467.0,188.07,51.1
Odisha,wheat,Zaid,11.55,1317.48,332.4,49.59
Andhra Pradesh,turmeric,Kharif,11.65,1185.47,348.2,50.72
Madhya Pradesh,tea,Kharif,14.75,2933.16,195.93,53.02
West Bengal,groundnut,Kharif,5.14,891.46,132.32,40.34
Telangana,millet,Zaid,16.84,2619.99,264.4,58.37
Telangana,pulses,Zaid,2.56,1806.62,85.87,30.1
Madhya Pradesh,ginger,Kharif,16.9,2822.13,123.51,54.07
Bihar,groundnut,Rabi,13.87,1505.23,260.71,48.24
Odisha,wheat,Kharif,9.19,595.33,57.51,36.75
Uttar Pradesh,millet,Rabi,0.55,305.3,170.61,29.55
Odisha,cumin,Kharif,5.65,322.27,273.94,29.25
Assam,cumin,Rabi,4.95,1640.15,343.07,38.25
Punjab,turmeric,Rabi,19.7,748.15,40.68,34.91
Kerala,groundnut,Zaid,2.06,2580.71,269.64,59.31
West Bengal,wheat,Kharif,13.74,944.74,275.72,48.85
Uttar Pradesh,coriander,Rabi,16.91,958.17,140.04,31.48
Tamil Nadu,cumin,Kharif,2.59,2528.03,79.28,43.72
Rajasthan,maize,Kharif,11.87,388.66,190.55,31.74
Maharashtra,millet,Zaid,3.42,1274.14,154.01,32.7
Karnataka,cumin,Rabi,18.34,1687.7,45.64,29.51
Madhya Pradesh,coriander,Zaid,12.75,1035.16,216.37,38.43
Andhra Pradesh,wheat,Kharif,6.5,1802.38,308.73,58.63
Assam,cumin,Zaid,8.29,749.54,286.44,35.18
Kerala,ginger,Rabi,9.35,1253.91,294.63,44.7
Tamil Nadu,ginger,Kharif,19.12,445.94,67.52,29.56
Bihar,chilli,Kharif,0.96,887.81,73.5,32.09
Tamil Nadu,rice,Kharif,5.39,648.8,310.76,45.7
Uttar Pradesh,coffee,Zaid,14.56,1761.74,179.45,35.56
Madhya Pradesh,sugarcane,Zaid,16.34,875.28,187.33,78.33
Maharashtra,cotton,Zaid,8.33,1243.95,221.68,36.95
Madhya Pradesh,chilli,Kharif,11.31,815.42,265.19,38.35
Maharashtra,tea,Zaid,3.39,2615.3,116.04,48.01
Telangana,sugarcane,Zaid,19.25,380.59,86.82,75.45
Uttar Pradesh,tea,Kharif,1.25,1594.99,217.99,38.21
Madhya Pradesh,ginger,Rabi,10.17,2386.65,178.92,54.74
Kerala,cotton,Rabi,12.44,2244.54,42.97,31.34
Odisha,turmeric,Kharif,1.42,389.09,200.3,35.83
Telangana,millet,Rabi,8.84,541.26,202.19,27.08
West Bengal,soybean,Zaid,19.45,2750.03,223.77,58.64
Tamil Nadu,sugarcane,Rabi,17.49,2387.49,69.59,94.13
Madhya Pradesh,ginger,Rabi,3.42,532.1,279.9,43.83
Telangana,cotton,Kharif,3.93,404.76,332.86,36.91
Odisha,turmeric,Rabi,14.36,631.04,146.5,40.45
Tamil Nadu,pulses,Zaid,9.56,977.0,181.07,33.15
Uttar Pradesh,pulses,Kharif,19.74,920.57,209.17,31.11
Assam,sugarcane,Rabi,1.94,1689.81,199.4,94.4
Bihar,cotton,Zaid,14.76,1896.17,91.25,32.32
Karnataka,coffee,Kharif,0.89,743.88,297.66,34.76
Odisha,coriander,Kharif,12.4,725.09,191.42,28.79
Karnataka,maize,Kharif,10.6,557.58,117.2,38.88
Tamil Nadu,millet,Zaid,14.17,2480.6,259.37,48.6
Punjab,chilli,Zaid,11.34,1982.02,329.16,47.71
Maharashtra,soybean,Zaid,14.39,802.23,289.98,40.26
Tamil Nadu,sugarcane,Rabi,16.8,1350.3,274.78,97.47
Telangana,tea,Kharif,17.37,304.81,145.12,26.2
Andhra Pradesh,ginger,Kharif,17.86,2800.99,127.89,48.14
Rajasthan,turmeric,Zaid,17.66,1613.18,345.17,46.4
Andhra Pradesh,turmeric,Kharif,5.22,1909.55,80.06,42.82
Uttar Pradesh,tea,Zaid,7.55,1551.38,57.37,33.45
West Bengal,pulses,Rabi,15.25,2139.0,110.2,35.36
Karnataka,rice,Zaid,12.42,2039.08,192.97,56.6
Andhra Pradesh,soybean,Rabi,0.65,2816.73,152.8,51.71
Rajasthan,ginger,Zaid,15.26,818.86,292.11,37.85
Maharashtra,tea,Rabi,6.77,2041.52,251.52,41.66
Tamil Nadu,coffee,Kharif,7.39,398.18,211.99,31.62
Uttar Pradesh,turmeric,Kharif,11.4,2248.26,257.34,53.31
Kerala,maize,Rabi,14.94,318.89,229.87,36.84
Andhra Pradesh,millet,Rabi,6.69,2146.09,346.73,53.81
Kerala,cotton,Kharif,8.16,2217.74,284.9,47.02
Telangana,maize,Kharif,1.95,2479.18,52.06,49.82
West Bengal,millet,Rabi,5.11,2236.78,126.75,44.7
Assam,coffee,Zaid,2.05,2556.08,333.86,49.06
Bihar,sugarcane,Zaid,2.9,2872.42,82.36,94.58
Telangana,chilli,Kharif,3.05,2458.23,259.77,51.39
Punjab,ginger,Zaid,14.93,1062.53,259.68,45.03
Haryana,maize,Zaid,18.2,2874.33,138.81,60.31
Andhra Pradesh,cumin,Kharif,4.59,2796.58,325.75,47.35
Andhra Pradesh,pulses,Kharif,10.81,1958.91,45.23,32.19
Assam,rice,Rabi,7.29,445.13,189.69,41.85
Rajasthan,coriander,Zaid,14.51,2754.05,339.15,54.6
West Bengal,coriander,Zaid,11.99,2765.9,249.13,48.28
Assam,coriander,Rabi,2.11,1038.8,155.96,28.96
Tamil Nadu,chilli,Kharif,13.18,2381.8,55.57,38.92
Bihar,pulses,Zaid,3.25,2450.24,156.42,36.71
Haryana,maize,Kharif,7.71,1632.89,277.57,49.8
Andhra Pradesh,soybean,Kharif,12.0,2553.67,264.56,56.21
Uttar Pradesh,wheat,Rabi,18.77,900.63,208.1,43.42
West Bengal,cotton,Zaid,8.45,2422.85,69.07,34.92
Bihar,coriander,Rabi,1.5,1957.15,180.69,36.63
Bihar,soybean,Rabi,3.14,307.07,138.91,31.02
Haryana,cumin,Kharif,10.78,2050.4,325.03,43.16
Odisha,soybean,Rabi,15.65,1367.93,103.53,41.33
Kerala,rice,Kharif,5.92,1305.81,338.39,53.21
Telangana,maize,Zaid,7.85,1872.98,149.77,47.28
Rajasthan,turmeric,Rabi,19.55,2324.98,211.29,51.65
Karnataka,chilli,Rabi,10.36,2820.63,214.27,52.1
Andhra Pradesh,groundnut,Zaid,9.62,1629.96,50.83,41.16
Telangana,ginger,Zaid,6.34,2970.31,175.79,56.75
Andhra Pradesh,cotton,Kharif,1.8,1467.22,227.14,34.6
Bihar,pulses,Rabi,14.03,2702.67,240.88,41.6
Bihar,cumin,Zaid,13.21,2132.87,102.89,38.45
Karnataka,cumin,Rabi,5.06,2822.39,96.73,38.39
Haryana,cumin,Zaid,1.48,876.45,175.14,30.47
Andhra Pradesh,rice,Zaid,0.77,2441.52,297.04,62.35
Haryana,turmeric,Zaid,6.62,628.75,60.64,33.0
Kerala,turmeric,Kharif,2.27,837.11,218.8,41.19
Punjab,maize,Rabi,5.08,1091.1,205.41,47.22
Haryana,ginger,Rabi,9.02,1289.69,176.32,40.08
Assam,sugarcane,Kharif,9.93,986.15,62.12,83.77
Maharashtra,maize,Kharif,3.23,1381.87,149.98,34.4
Maharashtra,coriander,Rabi,11.98,2594.74,83.01,41.77
Bihar,soybean,Kharif,5.31,2136.84,266.83,51.6
Kerala,tea,Zaid,5.1,1627.43,157.11,36.27
Telangana,maize,Rabi,3.78,2559.31,274.8,54.46
Karnataka,rice,Kharif,7.68,2274.5,289.8,58.05
Maharashtra,coriander,Rabi,6.26,981.55,44.39,26.82
Punjab,soybean,Rabi,18.56,2938.79,297.86,54.89
Punjab,millet,Kharif,19.57,1883.44,116.74,38.81
West Bengal,soybean,Zaid,16.38,2906.77,147.7,52.48
Karnataka,chilli,Zaid,14.47,1588.41,276.07,46.56
Madhya Pradesh,groundnut,Kharif,15.47,1395.18,51.02,40.52
Assam,tea,Kharif,17.75,1108.08,288.68,36.26
Madhya Pradesh,coffee,Zaid,6.76,458.44,344.65,38.62
Assam,cumin,Rabi,6.2,2989.04,239.81,47.45
Karnataka,ginger,Rabi,1.55,2788.02,285.75,53.23
Odisha,maize,Kharif,12.91,1830.19,163.08,44.88
Odisha,millet,Kharif,6.24,1917.7,192.89,40.78
Maharashtra,coffee,Kharif,16.28,1148.82,313.88,39.46
Andhra Pradesh,rice,Zaid,11.34,2056.73,271.0,57.66
Haryana,maize,Zaid,15.44,337.39,64.87,35.07
Karnataka,tea,Rabi,12.03,2440.44,346.99,50.58
Uttar Pradesh,maize,Zaid,8.94,2086.4,215.12,45.53
Tamil Nadu,coriander,Kharif,19.9,1453.77,232.49,35.91
Rajasthan,tea,Rabi,7.34,313.54,55.49,29.43
Uttar Pradesh,wheat,Kharif,2.65,981.96,172.7,42.51
Karnataka,coffee,Zaid,19.63,1906.43,220.39,37.73
Kerala,coriander,Kharif,15.64,2455.17,349.33,53.22
Bihar,millet,Rabi,13.07,2281.78,291.13,49.21
Punjab,rice,Rabi,13.78,366.22,250.62,39.63
Odisha,chilli,Kharif,2.19,2370.61,91.67,41.34
Maharashtra,wheat,Kharif,13.79,2943.18,97.53,53.3
Tamil Nadu,ginger,Kharif,1.57,838.11,254.78,39.03
Tamil Nadu,pulses,Rabi,10.31,1714.21,205.49,37.57
Madhya Pradesh,soybean,Zaid,16.58,416.24,152.33,31.26
Rajasthan,wheat,Rabi,17.28,2843.03,279.71,60.83
West Bengal,coriander,Rabi,18.59,1991.75,138.54,39.43
Odisha,tea,Kharif,18.84,1264.94,276.78,39.16
Uttar Pradesh,turmeric,Rabi,5.07,1002.48,151.38,41.05
Andhra Pradesh,groundnut,Kharif,8.25,2574.76,293.08,60.71
West Bengal,ginger,Kharif,9.39,2812.65,260.43,60.31
Rajasthan,cotton,Kharif,9.52,1854.73,145.27,40.81
Kerala,wheat,Zaid,4.4,826.12,211.13,44.77
Madhya Pradesh,maize,Rabi,7.13,2290.03,242.87,58.22
Rajasthan,sugarcane,Kharif,6.37,2246.86,271.62,97.34
Haryana,cotton,Rabi,17.27,1892.09,299.64,43.53
Maharashtra,sugarcane,Rabi,3.76,2488.48,222.21,101.0
Assam,turmeric,Zaid,14.66,2207.06,172.02,49.9
Bihar,chilli,Zaid,8.53,800.54,183.74,36.9
Rajasthan,millet,Rabi,15.54,1735.15,207.34,47.33
Maharashtra,sugarcane,Zaid,2.76,2198.31,208.1,97.49
Maharashtra,chilli,Zaid,16.29,2093.06,72.08,42.11
Odisha,soybean,Kharif,13.34,2621.72,252.11,53.0
Bihar,ginger,Rabi,2.32,2001.76,142.89,44.04
Andhra Pradesh,sugarcane,Zaid,12.8,1851.78,297.79,95.56
Odisha,pulses,Zaid,10.05,1144.19,228.39,38.93
Karnataka,cotton,Zaid,16.45,793.99,173.3,30.56
West Bengal,sugarcane,Zaid,7.02,1807.1,56.39,85.86
Telangana,turmeric,Zaid,10.72,2745.48,89.86,51.34
Bihar,pulses,Zaid,0.76,1249.63,181.19,27.24
Assam,groundnut,Rabi,18.27,1937.2,344.95,57.17
Kerala,chilli,Rabi,7.44,1399.5,77.3,41.4
Andhra Pradesh,coriander,Kharif,10.53,2200.86,238.74,49.84
West Bengal,sugarcane,Zaid,15.81,1629.89,84.38,80.12
Kerala,turmeric,Rabi,15.86,1976.34,128.07,42.0
Rajasthan,millet,Kharif,5.77,2235.69,66.79,35.72
Rajasthan,chilli,Rabi,2.66,820.79,192.54,29.4
Karnataka,maize,Zaid,7.98,1804.14,61.31,40.41
Punjab,soybean,Zaid,12.8,2490.05,69.73,43.86
Tamil Nadu,turmeric,Kharif,8.69,2516.39,180.3,54.14
West Bengal,cotton,Kharif,1.43,1258.57,183.45,31.32
Uttar Pradesh,ginger,Kharif,7.26,513.39,237.4,33.81
Assam,coffee,Kharif,6.71,2455.66,81.99,41.4
Tamil Nadu,chilli,Zaid,6.28,2851.57,190.5,51.65
Tamil Nadu,sugarcane,Rabi,14.23,1686.24,297.06,85.52
Karnataka,chilli,Zaid,4.21,1103.68,238.12,41.99
Tamil Nadu,turmeric,Kharif,3.04,550.89,226.43,32.21
Karnataka,sugarcane,Rabi,0.72,368.55,234.77,80.27
Karnataka,pulses,Rabi,2.78,989.54,179.0,29.87
West Bengal,soybean,Zaid,12.65,356.29,246.76,33.42
Rajasthan,ginger,Kharif,6.5,1303.24,115.29,37.94
Maharashtra,groundnut,Kharif,5.74,2313.09,310.48,57.17
Maharashtra,maize,Kharif,4.5,823.78,248.1,43.95
Kerala,coffee,Rabi,12.31,2084.41,42.33,34.01
Odisha,wheat,Zaid,15.09,1033.53,339.84,48.93
Rajasthan,turmeric,Zaid,5.53,2156.5,192.25,47.79
Telangana,soybean,Rabi,14.27,634.33,288.94,35.47
West Bengal,coriander,Zaid,19.85,396.05,179.16,25.27
Uttar Pradesh,rice,Kharif,8.13,2709.0,153.01,55.98
Odisha,cotton,Kharif,7.39,511.64,111.33,28.4
Bihar,chilli,Rabi,4.32,1510.87,153.5,44.87
Maharashtra,rice,Rabi,6.51,2237.09,83.61,51.68
West Bengal,millet,Rabi,10.57,1996.18,99.62,40.57
Bihar,groundnut,Zaid,9.72,2256.5,298.15,54.33
Bihar,ginger,Kharif,6.88,547.05,115.71,31.57
Andhra Pradesh,groundnut,Rabi,14.5,524.22,144.6,40.07
Odisha,groundnut,Rabi,11.82,1242.21,296.8,44.6
Kerala,turmeric,Zaid,1.74,581.36,139.79,36.91
Karnataka,cotton,Rabi,19.68,2166.58,78.98,39.27
Assam,chilli,Zaid,6.62,1692.44,281.13,48.43
Maharashtra,maize,Zaid,2.4,2755.94,314.3,60.89
West Bengal,maize,Rabi,4.76,990.01,86.61,34.92
Maharashtra,coffee,Kharif,4.39,2581.73,289.36,49.68
Bihar,cumin,Kharif,8.94,2579.73,159.14,42.04
Bihar,coriander,Zaid,2.3,1138.67,261.5,35.92
Uttar Pradesh,maize,Rabi,16.27,2302.09,280.02,54.43
Punjab,ginger,Kharif,6.33,2860.32,339.1,57.96
Andhra Pradesh,coffee,Zaid,18.48,1529.13,115.32,32.77
Odisha,cumin,Rabi,18.74,1247.39,69.01,28.26
Tamil Nadu,tea,Zaid,16.95,388.12,90.07,24.52
Bihar,millet,Rabi,14.42,1258.93,94.24,29.26
Assam,pulses,Kharif,19.59,320.56,40.23,22.62
Telangana,turmeric,Rabi,19.95,1953.41,156.26,49.47
Odisha,tea,Rabi,19.26,611.8,289.82,38.1
Odisha,cumin,Zaid,3.15,2462.35,195.2,41.03
Odisha,ginger,Kharif,16.17,2222.56,55.3,50.18
Andhra Pradesh,cumin,Kharif,19.78,2520.43,142.88,39.6
Andhra Pradesh,millet,Zaid,1.77,2237.71,98.73,41.21
Andhra Pradesh,tea,Zaid,17.65,328.31,298.36,34.44
West Bengal,turmeric,Rabi,16.91,564.07,48.44,33.0
Tamil Nadu,coffee,Rabi,17.03,1668.84,139.94,39.76
Andhra Pradesh,pulses,Kharif,11.07,2351.62,234.14,40.86
Andhra Pradesh,ginger,Rabi,7.19,2961.5,53.55,49.81
Andhra Pradesh,maize,Kharif,0.77,2382.26,131.44,47.09
Kerala,chilli,Zaid,14.55,2984.06,323.32,59.38
Andhra Pradesh,cotton,Zaid,4.52,678.48,264.26,34.88
Punjab,tea,Zaid,4.64,2939.04,78.48,44.8
Uttar Pradesh,sugarcane,Zaid,6.47,2169.24,302.44,98.03
Haryana,cotton,Zaid,15.46,2639.24,95.96,48.82
Bihar,ginger,Zaid,11.0,2931.46,260.46,55.31
Punjab,cumin,Rabi,0.92,1717.92,181.5,40.87
Haryana,coriander,Kharif,8.11,2523.74,300.35,46.45
Assam,millet,Zaid,6.02,1000.61,259.86,39.25
Odisha,groundnut,Zaid,6.51,2625.75,289.17,53.73
Telangana,maize,Rabi,17.05,2689.68,169.9,48.58
Maharashtra,chilli,Kharif,18.28,1190.34,183.99,34.95
Kerala,pulses,Rabi,2.47,2785.72,70.51,38.03
Madhya Pradesh,coriander,Zaid,3.55,2540.87,246.85,48.12
Rajasthan,coffee,Zaid,8.71,2429.96,44.1,44.45
Kerala,maize,Zaid,11.58,1356.54,109.22,41.27
West Bengal,ginger,Rabi,18.65,1285.78,71.74,38.19
Haryana,coffee,Kharif,2.74,2686.54,286.09,49.74
Telangana,cotton,Zaid,11.19,1181.69,341.52,43.88
Telangana,maize,Rabi,8.73,2504.3,221.06,51.36
Punjab,millet,Kharif,16.23,1835.17,130.89,37.28
Tamil Nadu,cumin,Kharif,6.53,385.33,161.43,24.12
Madhya Pradesh,wheat,Rabi,11.16,2143.44,47.88,44.27
Uttar Pradesh,ginger,Rabi,17.43,1070.64,281.23,44.39
Uttar Pradesh,rice,Rabi,4.32,1854.36,304.99,54.21
Madhya Pradesh,chilli,Rabi,14.84,383.97,278.77,42.41
Maharashtra,wheat,Kharif,17.75,1194.66,128.48,40.94
Maharashtra,tea,Zaid,17.44,1130.61,119.3,36.03
Tamil Nadu,chilli,Rabi,4.45,2290.68,245.12,53.53
Bihar,tea,Rabi,15.78,2118.18,78.88,39.98
Andhra Pradesh,turmeric,Zaid,11.6,788.53,313.45,45.26
Kerala,coffee,Zaid,4.25,2376.63,308.33,51.21
Rajasthan,coffee,Rabi,11.2,995.73,337.24,46.73
Madhya Pradesh,coffee,Rabi,16.1,1593.8,216.45,39.48
Haryana,soybean,Zaid,11.37,1806.48,108.12,45.29
Uttar Pradesh,cotton,Kharif,11.29,991.17,342.83,43.41
Assam,maize,Rabi,4.16,2833.51,291.81,59.89
Assam,soybean,Rabi,11.05,2561.85,159.4,52.76
Uttar Pradesh,chilli,Rabi,11.3,2868.05,195.76,53.88
Haryana,maize,Zaid,5.95,2696.56,43.39,50.47
Haryana,coriander,Rabi,12.28,1485.08,110.92,37.54
Tamil Nadu,tea,Kharif,18.34,2818.93,202.69,49.17
Rajasthan,chilli,Zaid,13.24,2022.85,171.32,45.1
Kerala,maize,Kharif,9.78,1973.82,80.97,44.51
Maharashtra,coffee,Rabi,13.66,1711.4,266.69,45.46
Maharashtra,rice,Kharif,4.31,2585.36,213.57,60.01
Telangana,coffee,Zaid,3.47,2157.79,294.96,43.15
Bihar,maize,Kharif,14.26,571.98,40.06,32.25
Maharashtra,sugarcane,Zaid,3.27,1782.57,70.56,87.52
Rajasthan,wheat,Zaid,5.1,1918.46,221.9,44.3
Rajasthan,cotton,Kharif,19.26,2187.01,312.12,52.88
Odisha,cotton,Kharif,11.33,2010.48,87.9,39.16
Uttar Pradesh,sugarcane,Kharif,19.4,1014.59,270.05,92.44
Karnataka,tea,Zaid,17.17,449.27,176.34,35.85
Uttar Pradesh,maize,Rabi,1.65,1414.42,250.51,45.65
Tamil Nadu,pulses,Kharif,0.91,1337.27,150.32,36.19
Assam,tea,Rabi,17.77,2149.53,72.39,36.86
Tamil Nadu,tea,Kharif,2.27,1447.79,245.07,42.61
Maharashtra,coffee,Rabi,12.3,1869.95,67.49,35.56
Odisha,groundnut,Zaid,1.28,2920.08,72.79,46.24
Rajasthan,wheat,Zaid,12.5,778.81,216.56,42.8
Maharashtra,turmeric,Rabi,8.9,2580.74,233.86,59.78
Odisha,coriander,Zaid,4.26,1206.02,180.44,35.77
Punjab,groundnut,Rabi,6.18,905.56,205.35,42.98
Uttar Pradesh,groundnut,Zaid,8.49,716.23,42.35,35.37
Odisha,turmeric,Zaid,11.59,1857.3,152.77,45.33
West Bengal,cumin,Zaid,2.14,2461.21,103.2,34.71
West Bengal,cotton,Kharif,4.8,2336.65,199.87,42.3
Telangana,soybean,Zaid,7.11,434.7,133.44,27.81
Andhra Pradesh,chilli,Rabi,9.4,1943.31,303.19,44.18
Andhra Pradesh,millet,Kharif,0.64,2524.68,292.26,57.18
Kerala,cumin,Rabi,4.74,1414.74,80.23,29.38
Punjab,groundnut,Kharif,8.32,1511.84,69.46,38.3
Andhra Pradesh,rice,Rabi,7.67,676.07,134.69,33.49
Kerala,tea,Kharif,1.9,2802.09,46.89,45.71
Telangana,wheat,Rabi,13.18,2467.31,50.0,49.57
Odisha,ginger,Kharif,19.92,1858.87,107.77,43.38
Rajasthan,wheat,Kharif,11.86,1054.44,77.37,41.23
Rajasthan,pulses,Zaid,3.96,783.29,155.48,31.84
Odisha,millet,Rabi,10.67,2011.05,153.37,39.6
Uttar Pradesh,cotton,Zaid,10.2,2157.67,138.13,45.89
Karnataka,rice,Zaid,16.29,2047.55,343.41,58.07
Madhya Pradesh,cumin,Rabi,12.99,1733.14,77.98,25.33
Kerala,groundnut,Kharif,17.44,1329.24,55.28,38.69
Madhya Pradesh,coffee,Kharif,0.56,1085.44,97.39,28.16
Bihar,sugarcane,Rabi,14.55,1915.1,154.96,93.63
Punjab,wheat,Rabi,2.97,1339.97,285.45,45.94
Madhya Pradesh,coriander,Rabi,13.61,1116.16,61.15,27.29
Assam,turmeric,Rabi,5.76,725.69,298.77,40.97
Rajasthan,groundnut,Kharif,9.5,1200.58,40.35,38.32
Haryana,turmeric,Rabi,18.47,2851.4,44.22,47.81
Tamil Nadu,coffee,Zaid,16.33,2690.09,50.05,38.08
Maharashtra,pulses,Kharif,9.15,2707.39,324.69,47.44
Tamil Nadu,cotton,Rabi,2.75,898.34,340.87,37.81
Madhya Pradesh,turmeric,Zaid,6.92,1391.1,89.41,36.23
Haryana,chilli,Zaid,5.81,2643.53,286.48,52.49
Assam,chilli,Rabi,11.16,1375.73,53.03,36.09
Andhra Pradesh,pulses,Rabi,1.38,442.75,335.59,35.54
Uttar Pradesh,wheat,Rabi,13.98,531.65,123.77,34.4
Haryana,coffee,Zaid,14.43,2363.85,273.77,51.78
Bihar,turmeric,Kharif,9.75,1322.94,196.02,41.44
Maharashtra,millet,Kharif,11.25,1376.52,243.01,43.43
Kerala,soybean,Kharif,9.01,409.37,221.01,36.95
Tamil Nadu,coriander,Zaid,15.23,1218.52,45.04,28.9
Haryana,maize,Kharif,3.73,2075.15,72.83,43.24
West Bengal,tea,Kharif,10.27,1709.83,284.28,43.9
Rajasthan,maize,Rabi,18.24,1490.93,242.5,43.8
Madhya Pradesh,groundnut,Zaid,14.59,971.88,104.11,38.76
Rajasthan,sugarcane,Kharif,9.2,2541.06,114.49,96.54
Bihar,turmeric,Rabi,1.74,1383.97,71.29,39.91
Andhra Pradesh,coffee,Rabi,0.99,2628.55,288.66,45.19
Maharashtra,groundnut,Kharif,0.64,2566.71,298.27,58.46
Tamil Nadu,cumin,Kharif,18.66,352.48,272.72,25.11
Haryana,cumin,Rabi,2.53,1879.85,258.44,35.5
West Bengal,tea,Kharif,1.68,1974.8,301.41,47.38
Karnataka,rice,Kharif,17.49,2635.16,169.23,51.47
Maharashtra,coriander,Rabi,11.45,327.95,304.01,30.64
Kerala,chilli,Rabi,16.84,1789.02,290.66,50.81
Assam,cumin,Kharif,14.81,1605.09,276.99,33.29
Assam,coriander,Rabi,16.69,944.28,342.76,38.16
Haryana,turmeric,Zaid,7.13,2102.07,221.39,53.3
Karnataka,turmeric,Kharif,18.0,477.95,345.21,44.0
Telangana,soybean,Zaid,4.5,2581.68,93.86,43.51
Rajasthan,millet,Rabi,4.65,2089.55,114.05,46.49
Haryana,cotton,Rabi,16.63,2052.84,47.07,37.72
Odisha,sugarcane,Kharif,18.51,1622.12,114.45,84.04
Bihar,turmeric,Kharif,10.19,1700.88,199.53,47.92
Punjab,soybean,Rabi,2.5,980.74,181.6,34.52
Madhya Pradesh,soybean,Kharif,0.56,1024.74,264.49,39.19
Punjab,coffee,Kharif,10.03,2508.54,349.24,51.01
Bihar,turmeric,Rabi,13.58,1479.64,209.93,43.3
Telangana,cumin,Zaid,11.84,1608.55,281.39,32.29
Madhya Pradesh,coffee,Rabi,16.78,1009.48,73.48,27.15
Odisha,turmeric,Rabi,2.5,1392.97,156.17,43.95
