N,P,K,temperature,humidity,ph,rainfall,label
53,48,35,18.13,57.44,6.86,84.86,maize
73,46,33,21.32,66.96,6.34,89.46,maize
68,35,31,21.69,69.86,6.81,127.76,maize
56,39,44,22.25,69.91,5.85,120.98,maize
72,48,38,26.94,51.03,6.42,122.32,maize
62,49,47,19.92,72.19,6.98,142.63,maize
77,37,31,18.76,50.29,6.25,88.93,maize
57,44,38,20.82,65.67,6.38,90.03,maize
68,46,32,21.62,57.61,5.66,132.69,maize
75,36,45,25.95,71.36,6.12,79.71,maize
57,42,48,18.04,65.58,6.14,133.67,maize
66,49,30,22.5,61.58,6.33,143.21,maize
64,45,39,21.58,50.37,5.57,79.21,maize
62,38,43,18.45,59.33,6.82,128.8,maize
60,33,43,23.54,58.67,5.94,83.05,maize
78,41,36,20.61,61.06,6.76,141.12,maize
69,37,34,25.23,63.58,6.14,123.75,maize
72,34,39,19.54,66.47,6.01,101.52,maize
60,43,46,26.36,68.75,5.69,82.21,maize
69,30,33,20.34,71.24,5.63,86.49,maize
76,33,48,22.6,51.69,5.83,95.32,maize
74,43,44,23.83,67.5,6.6,120.77,maize
73,47,31,26.13,51.32,5.57,126.25,maize
60,39,35,26.38,56.57,5.54,128.08,maize
65,38,49,24.6,66.68,6.33,82.26,maize
65,48,37,22.24,65.04,5.67,64.96,maize
74,45,49,19.11,68.26,6.01,60.03,maize
70,34,49,18.38,70.07,6.13,64.02,maize
50,41,46,25.61,52.87,6.46,83.01,maize
54,43,45,26.29,70.14,5.62,99.98,maize
75,30,36,22.5,52.02,6.86,122.23,maize
71,35,44,19.38,59.14,6.47,87.13,maize
67,46,48,22.24,54.62,6.89,121.72,maize
68,40,48,21.84,59.14,5.77,88.08,maize
67,48,43,20.68,74.65,6.08,109.11,maize
64,34,46,25.45,69.57,6.27,103.23,maize
56,47,38,19.83,73.74,5.58,133.9,maize
56,34,42,18.14,73.24,6.51,97.17,maize
75,48,36,24.63,62.11,6.72,129.77,maize
63,36,38,22.23,61.93,6.21,91.64,maize
68,38,42,22.59,61.52,6.92,136.98,maize
72,41,38,26.64,73.33,6.12,61.94,maize
54,30,37,20.69,58.82,5.62,66.83,maize
79,30,47,18.11,51.13,6.02,98.85,maize
63,38,36,22.56,56.73,5.97,68.92,maize
76,43,35,18.66,69.51,6.63,85.98,maize
61,41,30,25.29,73.45,6.05,94.7,maize
77,37,37,19.45,66.79,5.96,92.39,maize
60,42,37,26.07,68.15,5.87,113.47,maize
50,34,33,20.78,55.17,6.78,114.16,maize
68,44,46,22.21,65.5,6.71,135.79,maize
64,42,32,24.54,53.29,5.53,88.84,maize
55,46,30,25.85,53.64,6.74,77.06,maize
62,30,41,20.14,51.19,6.33,134.44,maize
65,38,47,25.41,65.23,6.66,108.03,maize
77,36,40,25.67,52.12,6.55,67.87,maize
75,37,35,26.02,53.76,6.79,93.46,maize
65,43,33,22.4,65.82,5.71,69.69,maize
65,46,32,24.11,54.8,5.73,141.34,maize
79,45,44,24.6,72.48,6.54,114.67,maize
78,42,35,21.36,56.41,6.07,127.27,maize
75,43,31,23.41,66.46,5.79,139.43,maize
75,38,30,18.1,55.01,6.65,83.39,maize
61,33,41,19.76,63.88,6.69,102.46,maize
64,35,47,24.73,50.68,6.92,83.39,maize
79,35,42,19.16,50.34,5.74,135.59,maize
59,48,34,19.33,55.73,5.8,113.84,maize
60,45,45,24.3,53.04,6.56,149.07,maize
72,30,48,24.12,65.49,6.66,137.44,maize
71,40,31,20.82,71.07,6.21,109.81,maize
72,30,30,26.34,56.39,6.77,71.2,maize
51,38,36,25.8,58.65,5.9,124.23,maize
61,31,41,19.59,72.02,6.98,133.68,maize
76,35,30,25.42,64.02,6.64,110.46,maize
61,44,41,19.76,63.97,6.98,149.89,maize
68,39,42,23.38,54.55,5.51,140.41,maize
73,34,46,26.79,51.77,5.52,114.35,maize
56,33,34,19.39,61.2,6.09,76.92,maize
69,43,44,26.73,74.72,6.98,114.18,maize
65,44,41,20.44,53.9,6.74,132.12,maize
73,42,49,18.94,65.72,6.81,87.1,maize
78,49,47,18.62,51.27,5.66,63.12,maize
50,32,45,24.31,60.29,6.81,117.63,maize
73,41,49,20.25,70.13,6.51,120.69,maize
69,47,37,25.01,65.68,5.64,103.13,maize
78,45,49,21.64,53.56,6.76,111.17,maize
68,34,30,25.06,66.71,6.88,127.11,maize
56,43,34,25.56,63.3,6.82,93.51,maize
79,38,30,23.89,56.28,5.88,74.2,maize
77,38,46,21.68,66.45,5.75,114.64,maize
51,43,33,20.42,61.29,5.98,60.66,maize
76,45,38,22.07,73.47,6.28,105.47,maize
57,44,48,25.54,59.61,6.46,62.59,maize
75,30,45,19.44,55.22,5.92,121.74,maize
65,36,39,20.18,51.3,5.51,95.18,maize
74,32,45,21.74,74.67,6.15,62.86,maize
59,42,43,25.8,53.19,5.86,147.61,maize
64,35,38,20.2,67.14,5.88,70.27,maize
55,49,35,19.65,52.93,6.1,89.97,maize
77,33,45,26.08,60.54,6.1,113.97,maize
60,40,43,26.01,56.2,5.74,111.9,maize
79,41,47,19.6,61.94,6.03,61.44,maize
70,42,34,19.39,69.34,6.24,83.59,maize
68,33,31,22.39,63.23,6.49,73.23,maize
73,38,39,19.75,67.84,5.63,88.56,maize
56,46,31,23.62,50.53,6.85,101.2,maize
55,32,40,18.65,67.06,5.79,83.53,maize
54,40,33,25.22,51.27,6.9,94.1,maize
55,30,49,22.37,59.06,5.93,105.95,maize
74,30,43,26.63,65.55,5.78,120.55,maize
56,49,35,26.68,67.2,6.88,76.04,maize
67,32,41,19.69,69.47,6.6,142.76,maize
65,44,40,19.11,68.71,6.76,64.27,maize
51,39,35,26.76,51.92,5.81,76.52,maize
53,46,47,19.29,56.76,5.77,121.07,maize
74,44,37,23.82,56.36,5.79,87.72,maize
79,45,30,24.58,71.02,5.73,96.24,maize
57,32,32,23.14,60.45,5.86,131.46,maize
64,41,31,24.87,53.4,5.99,92.31,maize
70,37,46,23.65,63.9,5.95,110.92,maize
58,37,42,22.31,68.48,5.67,113.79,maize
60,35,45,26.27,61.15,6.12,131.49,maize
67,47,41,20.51,61.12,6.36,90.23,maize
53,37,47,21.66,65.75,6.3,126.75,maize
62,40,43,26.54,50.51,6.08,62.97,maize
54,42,32,26.8,69.13,6.76,94.76,maize
56,30,30,24.33,50.03,5.51,139.2,maize
65,30,38,25.64,58.15,5.93,112.3,maize
61,48,44,21.56,51.01,6.6,149.28,maize
79,31,41,20.5,52.68,5.65,111.7,maize
52,33,43,19.79,50.23,6.07,132.99,maize
64,35,41,22.93,52.57,6.5,119.21,maize
67,40,42,23.7,63.9,6.29,75.44,maize
75,37,45,20.19,50.82,6.47,78.4,maize
67,40,32,20.49,69.21,6.69,82.71,maize
67,32,49,18.19,57.57,5.88,95.05,maize
63,36,48,19.11,57.8,6.1,129.33,maize
67,44,45,18.14,55.3,6.74,66.92,maize
50,42,37,23.9,54.58,6.43,129.0,maize
56,40,34,21.54,65.96,6.75,148.06,maize
59,40,47,21.14,50.62,6.74,138.92,maize
64,43,45,23.87,62.2,6.48,78.2,maize
79,45,34,18.5,62.45,5.91,101.79,maize
51,45,49,21.3,52.27,5.67,93.56,maize
69,34,36,22.94,59.33,6.94,118.71,maize
70,35,32,24.85,66.23,6.65,93.15,maize
56,35,47,20.6,56.75,5.88,95.28,maize
73,46,34,20.36,54.34,6.43,103.26,maize
59,34,45,26.31,68.92,6.83,102.76,maize
57,31,37,23.47,51.96,6.52,114.08,maize
74,49,46,24.01,50.23,5.84,143.94,maize
54,48,42,22.83,62.15,6.27,101.05,maize
73,35,47,25.28,71.68,6.3,109.98,maize
69,41,42,19.87,73.9,6.19,102.23,maize
65,39,40,23.74,52.83,6.95,139.37,maize
70,49,34,20.79,56.79,6.11,94.27,maize
54,49,31,22.86,51.82,6.29,103.24,maize
60,30,33,18.34,56.86,6.84,70.86,maize
57,40,30,22.78,54.33,6.57,63.27,maize
79,37,33,20.66,53.28,6.33,136.82,maize
70,47,36,20.9,53.11,6.41,100.08,maize
52,31,43,19.39,57.59,5.93,130.82,maize
71,33,47,21.66,67.9,6.57,144.11,maize
78,32,36,25.65,74.04,5.78,126.42,maize
76,49,37,22.59,69.18,6.46,114.29,maize
54,42,40,18.07,55.7,6.95,86.24,maize
66,40,37,25.91,55.19,5.74,71.19,maize
70,45,44,19.58,60.1,6.88,81.7,maize
62,36,49,20.09,67.38,6.59,82.01,maize
66,30,47,23.59,52.19,6.03,63.69,maize
67,47,32,22.07,71.39,6.86,145.53,maize
70,46,38,20.25,58.71,6.66,68.71,maize
66,31,46,25.14,57.92,6.31,120.77,maize
71,38,49,20.75,64.91,5.59,144.39,maize
74,48,35,20.77,73.77,6.74,84.18,maize
60,44,44,24.44,59.36,5.62,136.37,maize
68,46,34,24.95,56.92,6.53,64.27,maize
52,49,34,20.16,74.58,5.66,85.57,maize
71,37,35,19.3,65.88,5.5,122.35,maize
58,33,35,26.11,75.0,6.87,144.07,maize
61,42,36,25.09,70.48,5.77,90.61,maize
73,40,32,22.44,54.01,6.5,102.34,maize
54,44,33,24.71,55.46,6.03,130.22,maize
79,39,32,23.85,68.26,6.98,80.67,maize
55,36,31,21.73,51.43,6.96,69.99,maize
75,31,46,24.65,57.07,6.14,147.35,maize
53,48,36,23.65,68.45,6.98,78.82,maize
78,37,43,19.95,50.25,5.58,68.09,maize
69,40,32,18.44,60.44,6.73,90.85,maize
70,35,39,23.54,50.74,6.53,131.32,maize
58,31,41,21.95,60.16,6.91,61.82,maize
58,39,40,20.12,71.71,6.29,91.17,maize
53,31,44,20.61,50.62,5.69,78.43,maize
75,36,43,19.16,64.7,6.16,139.47,maize
58,33,32,21.11,51.84,6.54,88.63,maize
59,41,44,24.75,52.69,6.96,95.73,maize
65,30,35,20.24,66.01,6.35,128.76,maize
60,30,43,25.1,56.11,6.78,105.91,maize
77,37,44,22.67,52.86,6.28,84.46,maize
54,30,49,18.65,73.88,6.71,118.87,maize
67,49,46,18.29,65.77,5.64,61.31,maize
59,30,32,26.57,59.58,6.7,90.61,maize
87,51,49,28.28,69.95,6.6,96.28,cotton
85,53,47,25.64,60.29,6.02,79.2,cotton
70,51,57,23.55,63.52,6.92,64.73,cotton
81,42,50,29.42,56.68,6.76,95.68,cotton
97,50,56,29.53,58.61,7.26,91.55,cotton
93,41,51,29.86,58.37,6.88,84.75,cotton
71,48,52,26.25,59.27,6.95,94.37,cotton
79,40,40,25.74,56.57,7.18,94.45,cotton
76,49,59,24.02,65.95,6.87,82.85,cotton
88,57,47,21.41,61.57,7.32,75.47,cotton
78,54,59,23.88,58.43,6.86,58.81,cotton
85,55,53,25.92,54.22,6.95,100.0,cotton
74,43,54,25.23,53.9,6.8,62.28,cotton
79,42,49,28.48,62.86,6.16,76.37,cotton
99,44,42,22.55,52.09,7.32,96.66,cotton
81,56,43,22.37,59.03,6.32,70.21,cotton
88,50,51,21.94,57.36,7.26,85.35,cotton
90,44,56,21.85,56.95,6.77,54.31,cotton
90,51,43,24.38,58.58,6.07,87.42,cotton
93,44,45,26.31,64.17,7.41,81.15,cotton
73,54,43,21.19,65.61,6.96,69.26,cotton
79,42,55,23.2,51.48,7.31,55.35,cotton
87,50,58,25.06,68.45,7.27,77.57,cotton
70,44,59,28.94,61.76,6.64,89.13,cotton
77,49,49,23.37,57.5,6.34,59.46,cotton
70,59,59,26.56,66.66,6.86,59.93,cotton
84,55,54,24.18,65.76,6.28,91.83,cotton
76,56,40,29.26,67.06,6.24,76.39,cotton
81,47,56,21.92,55.87,7.1,89.66,cotton
83,40,57,27.28,65.37,6.61,65.35,cotton
79,54,59,27.15,52.32,6.74,56.89,cotton
75,41,47,24.35,57.72,6.32,84.25,cotton
73,40,59,22.0,64.07,6.01,99.87,cotton
75,48,45,28.77,62.09,6.31,78.98,cotton
90,57,44,23.21,56.41,7.45,66.05,cotton
94,40,56,28.84,59.62,6.89,80.08,cotton
83,45,41,29.67,67.69,7.13,88.92,cotton
95,55,55,29.07,57.32,6.69,94.32,cotton
85,46,47,27.06,63.22,7.49,85.75,cotton
81,56,50,29.15,65.56,6.28,58.62,cotton
76,42,58,24.8,61.08,6.09,70.62,cotton
80,41,55,26.71,58.92,6.01,90.08,cotton
81,50,55,26.58,55.6,6.07,79.27,cotton
94,57,52,26.31,69.61,6.73,92.43,cotton
82,42,45,25.44,64.35,6.87,57.4,cotton
85,46,44,22.99,66.38,6.39,66.93,cotton
89,44,46,23.36,55.58,6.19,52.97,cotton
75,41,51,29.38,50.99,6.05,54.2,cotton
83,58,59,27.11,61.89,6.52,65.43,cotton
80,57,52,28.24,61.08,6.04,96.95,cotton
74,49,46,29.75,58.52,7.06,81.37,cotton
99,56,55,28.57,62.56,6.21,94.42,cotton
73,47,43,27.93,66.48,6.96,89.24,cotton
85,51,46,25.88,57.18,7.25,78.61,cotton
98,45,52,22.02,56.19,6.92,82.24,cotton
89,59,46,26.25,62.1,6.78,99.96,cotton
99,48,59,29.83,60.36,6.28,54.66,cotton
79,42,45,27.19,52.21,6.18,67.73,cotton
86,43,55,22.04,65.66,7.3,60.46,cotton
99,56,52,22.86,53.52,6.96,51.79,cotton
94,58,53,21.42,64.71,6.92,88.47,cotton
99,45,47,26.96,61.9,6.87,56.84,cotton
75,42,56,22.08,60.7,6.72,96.43,cotton
86,52,43,21.69,56.96,7.17,61.17,cotton
91,52,48,28.94,52.29,6.11,69.32,cotton
97,41,45,22.15,54.46,7.33,79.41,cotton
92,41,51,26.69,61.0,6.36,74.39,cotton
75,44,54,29.28,60.41,6.17,97.32,cotton
94,50,51,25.79,55.82,7.37,91.11,cotton
88,57,50,29.58,56.44,6.91,86.37,cotton
89,44,54,25.49,55.69,7.31,74.79,cotton
96,51,40,28.29,62.22,6.66,91.39,cotton
89,58,46,29.25,53.0,6.34,92.83,cotton
79,41,54,22.19,59.36,6.87,72.54,cotton
88,40,54,25.73,67.29,6.23,55.67,cotton
86,58,52,21.31,60.51,6.01,85.21,cotton
73,41,41,23.76,56.14,7.44,58.71,cotton
84,53,45,26.39,61.57,7.32,77.93,cotton
71,48,57,21.83,60.06,7.02,61.06,cotton
75,48,41,26.58,63.11,6.24,86.45,cotton
98,42,48,26.98,62.04,6.41,61.55,cotton
91,51,58,29.25,67.59,7.27,98.64,cotton
83,47,43,24.76,60.99,6.63,84.78,cotton
76,54,45,23.99,69.2,6.78,71.76,cotton
96,52,57,24.93,55.84,7.02,78.51,cotton
78,51,53,29.68,50.31,7.42,56.02,cotton
77,46,52,29.72,64.54,6.78,58.01,cotton
94,46,44,21.88,54.27,7.24,99.99,cotton
86,55,49,29.63,69.09,6.32,79.72,cotton
86,57,44,21.55,50.5,7.34,78.53,cotton
76,57,57,23.25,58.23,6.59,72.19,cotton
99,51,44,26.16,66.47,6.02,73.69,cotton
76,49,40,27.66,58.88,6.34,58.28,cotton
88,55,57,21.92,66.43,6.77,77.13,cotton
79,53,47,25.5,57.14,6.74,89.21,cotton
78,51,55,29.02,57.54,6.15,55.56,cotton
92,58,55,23.11,66.93,7.06,57.44,cotton
82,43,45,21.47,53.86,6.17,84.75,cotton
76,56,59,25.18,64.83,6.58,78.31,cotton
87,42,52,24.4,66.61,6.43,53.29,cotton
97,55,51,29.03,60.61,6.14,61.7,cotton
98,48,47,26.47,50.58,6.73,73.29,cotton
82,54,46,24.06,51.05,7.02,56.69,cotton
71,48,52,27.54,64.89,6.22,74.8,cotton
85,50,52,22.17,64.49,7.38,96.4,cotton
92,42,54,27.32,58.66,6.29,63.09,cotton
94,45,49,26.1,56.97,6.79,71.8,cotton
81,52,55,21.67,51.56,6.84,89.87,cotton
86,44,54,26.44,60.66,6.45,89.09,cotton
73,47,40,28.74,64.34,6.02,56.35,cotton
83,54,50,27.59,60.68,6.29,57.1,cotton
71,59,50,25.83,62.36,6.24,71.84,cotton
97,46,41,27.53,66.27,7.06,79.87,cotton
70,47,41,25.57,63.97,6.77,86.43,cotton
95,49,46,26.42,58.59,6.76,75.83,cotton
88,51,46,26.7,55.91,7.3,57.97,cotton
86,57,59,21.2,63.5,7.44,73.69,cotton
84,52,45,28.23,68.61,6.05,83.27,cotton
84,44,40,29.43,60.42,7.1,57.68,cotton
78,52,44,24.82,57.36,7.3,51.75,cotton
97,51,48,28.72,56.2,7.37,96.48,cotton
84,59,57,22.92,55.02,6.13,53.52,cotton
97,58,41,24.44,68.07,6.37,94.43,cotton
91,44,55,23.74,59.92,7.41,96.12,cotton
81,45,46,24.07,59.67,6.86,51.82,cotton
79,46,54,24.12,57.95,6.06,75.72,cotton
95,49,56,24.45,67.61,7.47,92.86,cotton
78,59,44,23.54,67.59,6.62,66.44,cotton
81,52,54,27.79,53.59,6.16,87.52,cotton
93,51,45,28.31,68.01,6.95,74.79,cotton
78,57,59,24.79,50.21,6.17,54.33,cotton
89,53,41,26.29,67.8,6.25,97.44,cotton
78,56,51,24.24,68.09,6.93,79.0,cotton
74,48,49,29.48,56.04,6.95,66.03,cotton
88,52,56,23.42,55.83,7.45,63.44,cotton
87,53,45,23.14,50.34,6.74,57.75,cotton
79,46,44,22.05,61.82,6.23,58.6,cotton
99,53,49,21.54,66.89,6.12,56.39,cotton
77,55,45,25.97,58.56,6.77,53.1,cotton
84,46,57,21.31,69.88,6.62,80.48,cotton
95,59,55,23.28,52.52,7.35,65.49,cotton
74,53,51,25.47,57.51,6.56,68.59,cotton
71,48,43,22.5,60.4,6.12,90.13,cotton
73,51,47,26.12,51.91,6.66,90.01,cotton
99,56,42,26.98,53.72,7.24,75.98,cotton
98,52,46,26.18,68.16,7.21,94.46,cotton
75,44,53,21.52,61.49,6.48,81.92,cotton
93,50,59,28.14,61.82,6.11,64.62,cotton
84,44,42,22.6,53.56,6.69,97.95,cotton
92,52,52,24.71,58.59,7.17,66.16,cotton
87,54,41,28.97,63.83,7.47,81.72,cotton
80,51,54,27.86,68.74,6.4,83.26,cotton
81,46,42,23.13,62.52,6.34,63.68,cotton
80,52,51,28.91,56.78,6.19,77.41,cotton
81,40,45,22.31,66.65,7.42,60.5,cotton
82,47,54,29.48,59.39,7.2,57.57,cotton
70,41,42,28.37,63.62,6.06,69.11,cotton
94,58,51,27.55,59.72,6.92,94.99,cotton
98,50,43,21.82,53.67,6.04,90.27,cotton
79,49,51,23.2,57.8,6.18,66.46,cotton
97,41,51,29.69,54.91,6.77,96.39,cotton
73,56,59,23.08,59.09,6.76,70.44,cotton
73,47,51,25.15,59.16,6.2,73.09,cotton
94,55,58,27.48,51.42,7.48,53.91,cotton
74,47,42,28.5,63.78,7.09,88.32,cotton
75,46,42,24.22,55.67,6.0,86.13,cotton
90,52,40,25.06,64.32,6.38,58.92,cotton
74,54,59,21.15,52.49,6.51,95.9,cotton
88,43,43,26.58,60.05,6.42,70.0,cotton
75,44,40,29.25,58.83,6.34,69.15,cotton
98,40,42,27.37,51.26,6.08,84.64,cotton
89,57,42,23.99,54.1,7.23,62.34,cotton
95,47,50,28.65,59.37,6.49,73.33,cotton
97,59,45,21.87,61.96,7.03,58.62,cotton
73,57,54,29.02,66.14,6.39,54.25,cotton
94,42,56,22.66,56.34,6.02,68.5,cotton
92,46,42,27.49,63.8,7.5,69.2,cotton
91,46,53,29.51,56.06,7.45,70.71,cotton
85,41,54,22.33,57.34,6.28,69.55,cotton
79,56,48,23.26,63.83,6.24,87.21,cotton
74,44,54,25.6,68.96,6.09,96.19,cotton
73,44,55,29.37,63.31,6.05,99.69,cotton
76,50,43,29.61,63.92,7.28,92.94,cotton
93,59,54,23.01,58.17,6.18,56.72,cotton
90,49,57,26.28,63.67,7.08,50.2,cotton
86,51,54,23.72,53.39,6.49,57.02,cotton
91,48,44,29.77,57.58,7.2,92.86,cotton
95,58,49,26.29,59.97,7.41,90.78,cotton
89,47,55,25.54,68.96,6.09,88.17,cotton
78,52,45,25.96,67.4,6.02,71.72,cotton
98,55,41,26.51,61.1,6.4,76.89,cotton
71,49,52,21.32,59.52,7.16,64.96,cotton
97,57,44,23.13,57.75,6.99,71.62,cotton
98,41,53,27.26,67.11,7.23,90.96,cotton
71,43,52,22.78,63.51,7.38,59.9,cotton
97,48,55,24.14,67.0,6.89,63.01,cotton
87,51,47,26.52,65.4,6.38,77.93,cotton
79,48,43,22.18,67.95,7.11,74.93,cotton
89,41,41,25.87,51.31,6.92,71.74,cotton
90,50,47,22.41,64.68,7.07,89.95,cotton
70,54,51,26.97,65.52,6.87,63.1,cotton
93,58,49,26.99,52.41,6.23,53.79,cotton
81,43,54,24.27,56.62,7.37,81.55,cotton
91,48,50,25.93,63.09,7.15,97.37,cotton
96,52,46,25.28,55.33,6.19,85.67,cotton
70,44,40,28.47,52.7,7.03,68.3,cotton
74,46,57,28.12,60.5,6.53,99.43,cotton
94,56,57,24.91,58.85,6.75,88.05,cotton
97,57,50,26.05,58.32,7.41,87.31,cotton
73,45,46,24.23,53.12,7.19,89.11,cotton
93,55,57,22.19,56.68,6.77,70.93,cotton
75,41,41,24.4,52.62,6.61,74.39,cotton
88,56,51,23.29,50.91,6.7,94.62,cotton
89,44,53,23.37,65.14,6.29,93.19,cotton
75,49,47,24.24,50.4,6.21,65.13,cotton
77,47,48,27.16,54.31,6.18,66.28,cotton
91,54,44,27.23,67.13,6.11,74.7,cotton
72,47,59,29.01,66.35,7.12,86.81,cotton
94,50,47,26.42,52.92,6.87,82.85,cotton
77,40,42,28.77,60.3,6.18,54.1,cotton
98,50,53,24.69,63.51,6.19,93.47,cotton
70,40,57,26.23,62.91,7.0,74.88,cotton
86,45,46,21.8,64.17,6.61,59.07,cotton
73,43,55,24.32,54.48,7.25,99.23,cotton
80,59,47,21.7,51.78,7.01,60.27,cotton
92,46,44,24.03,63.15,7.34,69.22,cotton
83,52,53,26.05,53.46,7.17,67.33,cotton
78,48,44,26.83,51.13,6.33,52.7,cotton
75,41,54,23.04,66.8,7.03,64.54,cotton
76,55,51,29.79,69.48,6.09,83.94,cotton
96,45,51,28.04,61.37,6.65,96.5,cotton
82,53,58,23.08,61.71,6.44,56.01,cotton
88,53,53,28.52,60.82,7.2,69.6,cotton
73,57,46,22.58,52.98,7.23,86.1,cotton
87,54,55,23.11,52.58,6.59,79.56,cotton
70,48,48,27.28,55.72,6.4,54.13,cotton
86,40,59,26.36,50.1,6.55,61.69,cotton
73,46,50,26.88,65.48,6.11,63.08,cotton
89,58,56,27.75,51.59,6.29,88.52,cotton
75,52,58,21.9,52.04,6.04,69.24,cotton
79,55,56,22.86,59.99,7.33,80.51,cotton
90,45,43,28.35,65.39,7.24,93.0,cotton
74,46,51,25.75,64.44,6.8,68.34,cotton
83,46,42,23.37,51.97,7.27,54.22,cotton
90,41,54,24.58,52.46,6.97,76.64,cotton
77,54,43,26.64,58.16,7.04,83.83,cotton
88,56,41,24.15,51.15,7.32,99.72,cotton
89,48,53,25.75,68.72,6.55,89.41,cotton
75,42,52,21.25,55.1,6.45,56.39,cotton
74,42,43,29.65,61.72,6.95,53.38,cotton
106,41,53,21.91,74.59,7.49,220.89,sugarcane
129,40,58,22.03,83.09,6.69,151.76,sugarcane
106,52,60,31.89,83.3,7.43,212.32,sugarcane
101,56,58,20.25,65.5,6.37,224.96,sugarcane
133,59,51,26.65,83.99,6.93,162.66,sugarcane
123,46,60,26.83,83.37,6.56,172.73,sugarcane
93,58,53,28.31,65.49,6.43,148.48,sugarcane
90,49,50,30.47,83.7,6.67,130.42,sugarcane
114,47,67,28.36,74.13,6.71,209.13,sugarcane
118,41,58,25.63,79.53,6.93,136.58,sugarcane
112,55,52,23.53,78.07,7.01,171.96,sugarcane
103,50,55,24.62,70.12,6.95,173.4,sugarcane
100,45,63,31.65,83.35,7.33,141.65,sugarcane
119,41,65,27.59,72.85,6.39,215.77,sugarcane
131,54,55,22.98,71.5,6.31,208.24,sugarcane
116,47,61,20.86,78.63,7.47,150.66,sugarcane
122,44,54,21.06,77.02,6.54,124.0,sugarcane
102,56,50,20.81,76.04,6.71,155.47,sugarcane
98,43,53,22.12,71.36,7.3,227.41,sugarcane
100,50,52,24.49,65.57,6.31,239.73,sugarcane
105,53,64,31.57,83.99,6.78,194.2,sugarcane
135,52,60,29.07,75.19,6.33,247.51,sugarcane
122,48,58,25.52,74.71,6.07,237.07,sugarcane
115,48,69,21.2,80.59,6.8,178.91,sugarcane
102,57,58,24.53,73.9,7.35,218.26,sugarcane
90,53,50,21.13,83.44,6.38,233.9,sugarcane
129,50,65,27.07,82.09,6.75,141.36,sugarcane
132,49,62,20.71,80.82,7.09,218.9,sugarcane
112,44,53,20.47,77.91,7.27,175.68,sugarcane
96,59,67,30.37,78.61,6.25,175.15,sugarcane
100,51,69,31.27,69.55,6.76,143.44,sugarcane
106,41,58,27.87,74.25,7.29,170.11,sugarcane
114,43,69,29.96,80.39,6.74,235.08,sugarcane
131,51,54,21.72,79.22,6.58,179.98,sugarcane
104,53,69,28.93,69.24,6.09,223.69,sugarcane
94,50,61,31.04,83.78,7.35,188.23,sugarcane
139,57,56,30.51,68.41,6.55,130.13,sugarcane
90,43,66,24.51,80.35,6.25,232.24,sugarcane
108,56,64,25.2,72.38,7.26,140.04,sugarcane
134,51,50,26.7,83.69,6.77,165.7,sugarcane
113,58,62,23.23,83.14,7.24,168.95,sugarcane
126,42,60,24.89,72.02,7.12,162.51,sugarcane
119,46,68,24.79,76.95,7.16,185.8,sugarcane
102,40,64,28.14,65.29,6.0,153.83,sugarcane
125,58,54,27.55,67.98,6.9,157.26,sugarcane
104,43,55,24.6,69.24,6.9,221.2,sugarcane
90,41,50,23.85,74.11,6.42,154.81,sugarcane
115,52,61,30.56,74.34,7.23,185.6,sugarcane
119,52,60,21.44,65.46,6.86,211.45,sugarcane
118,57,56,31.71,66.67,7.43,187.51,sugarcane
138,45,59,26.81,83.18,6.14,149.12,sugarcane
96,49,54,23.64,78.9,6.41,241.13,sugarcane
98,45,57,21.19,81.34,7.31,164.47,sugarcane
121,55,57,23.19,75.91,6.81,215.79,sugarcane
104,46,51,26.61,81.2,6.78,238.84,sugarcane
134,42,57,27.19,78.22,7.13,120.53,sugarcane
93,58,69,28.29,67.74,6.96,179.24,sugarcane
104,40,63,31.15,66.65,6.42,222.91,sugarcane
135,46,65,21.03,80.09,6.58,146.26,sugarcane
104,57,63,22.56,78.9,6.25,123.52,sugarcane
127,46,54,21.51,77.84,7.37,203.91,sugarcane
128,57,68,21.6,65.82,7.23,201.44,sugarcane
90,51,58,21.15,79.08,7.33,194.04,sugarcane
90,45,57,25.71,67.96,7.08,235.97,sugarcane
114,53,60,28.95,73.81,6.89,129.66,sugarcane
130,51,64,27.39,67.58,7.43,234.26,sugarcane
100,41,65,20.79,72.08,6.24,133.43,sugarcane
119,42,65,23.21,79.1,7.1,243.01,sugarcane
96,59,53,31.76,69.51,6.71,139.29,sugarcane
93,49,68,22.18,77.17,7.3,129.62,sugarcane
101,48,65,24.51,75.82,6.14,129.26,sugarcane
123,42,53,21.09,69.22,6.97,202.1,sugarcane
103,55,55,27.42,70.55,6.9,181.25,sugarcane
99,58,53,23.25,84.58,6.51,229.07,sugarcane
114,49,69,26.88,82.96,6.73,207.16,sugarcane
138,55,52,27.48,77.17,6.05,124.16,sugarcane
125,48,65,30.77,79.24,7.16,122.05,sugarcane
125,47,54,22.0,79.36,6.46,150.62,sugarcane
124,52,65,25.12,83.92,6.12,218.34,sugarcane
133,51,64,31.18,71.94,7.47,241.15,sugarcane
115,57,61,30.35,66.54,6.61,136.91,sugarcane
119,56,54,21.86,84.24,6.5,187.61,sugarcane
122,48,57,22.11,67.84,7.21,200.59,sugarcane
94,46,52,24.91,81.04,6.45,219.15,sugarcane
111,49,58,21.45,79.33,6.61,147.0,sugarcane
131,54,69,26.9,80.56,6.2,248.47,sugarcane
